Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
17111	34	23	26	35	35	45	38	52	858	938	960	1073	1110	1246	1298	1357	1446	1612	1631	1612			
17140	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17150	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17200	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17201	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17236	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17250	163	148	195	250	288	361	425	470	507	519	544	640	717	702	853	947	919	924	956	1008			
17260	149	148	176	171	163	190	183	206	216	234	220	246	218	219	260	251	253	241	257	235			
17261	592	584	681	768	765	874	988	973	1037	1201	1158	1284	1244	1309	1365	1351	1344	1346	1370	1407			
17262	647	626	781	902	953	1058	1124	1363	1393	1521	1519	1669	1787	1921	2083	2294	2379	2445	2402	2379			
17263	130	116	169	188	184	198	257	294	312	279	316	363	382	373	382	448	414	449	478	447			
17264	22	20	20	29	35	40	51	45	55	51	49	54	47	71	73	67	73	75	77	67			
17266	#	#	#	11	20	#	#	#	15	21	14	24	15	17	21	15	16	24	17	21			
17270	45	67	76	79	83	81	80	75	77	93	96	87	88	94	74	87	94	90	69	76			
17271	188	191	217	258	248	287	326	323	317	376	353	404	369	386	399	384	359	371	370	356			
17272	167	194	196	200	242	257	284	320	367	389	371	413	408	433	494	489	511	469	479	459			
17273	30	20	37	38	37	47	55	45	57	50	79	65	71	71	80	96	95	69	74	84			
17274	#	#	#	#	#	#	#	16	18	12	13	#	17	#	11	11	12	#	16	#			
17276	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17280	359	361	403	397	391	368	374	382	369	413	340	343	350	345	317	343	318	277	260	230			
17281	612	679	743	713	829	823	906	923	884	842	890	863	845	807	784	803	785	707	622	637			
17282	397	442	473	471	498	550	596	635	628	644	610	660	675	712	682	756	657	589	548	542			
17283	75	57	83	74	85	99	92	115	118	94	113	109	97	101	119	100	93	95	86	100			
17284	15	#	14	15	11	12	13	17	23	15	19	13	17	17	12	11	16	15	12	#			
17286	#	#	#	#	#	#	#	#	#	#	#	#	12	#	15	#	#	#	#	#			
17304	897	1111	1356	1752	2142	2464	2789	3205	#	#	#	#	#	#	#	#	#	#	#	#			
17305	538	670	787	1066	1294	1472	1684	1927	#	#	#	#	#	#	#	#	#	#	#	#			
17306	181	227	275	379	447	466	514	622	#	#	#	#	#	#	#	#	#	#	#	#			
17307	69	88	79	138	155	162	179	228	#	#	#	#	#	#	#	#	#	#	#	#			
17310	22	33	28	44	36	47	46	68	#	#	#	#	#	#	#	#	#	#	#	#			
17311	#	#	#	#	#	#	#	#	3201	3524	3753	4125	4349	4516	4828	4958	5273	5414	5609	5719			
17312	#	#	#	#	#	#	#	#	1880	2149	2268	2511	2586	2674	2798	2828	3011	3046	3084	3049			
17313	#	#	#	#	#	#	#	#	505	642	710	872	904	874	1041	1074	1178	1381	1421	1534			
17314	#	#	#	#	#	#	#	#	220	302	341	430	415	411	496	509	535	605	598	641			
17315	#	#	#	#	#	#	#	#	47	48	61	64	54	46	58	43	59	61	41	62			
17340	179	170	156	141	139	147	132	100	101	81	72	57	67	67	79	46	56	32	41	40			
17343	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17360	15	12	12	13	18	17	22	16	20	22	#	#	#	#	14	14	13	20	16	14			
17371	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17380	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17399	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17530	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17626	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17990	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
17999	31	41	48	59	47	56	44	50	63	84	87	89	70	57	68	80	90	52	75	46			
18091	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18097	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18181	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18286	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18376	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18395	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18499	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18699	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
18941	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19000	1448	2304	2395	2449	2284	2266	2204	1953	1930	1839	1763	1643	1615	1575	1455	1345	1199	1073	992	606			
19001	187	273	303	326	269	294	265	210	216	173	178	170	177	130	117	126	86	63	65	42			
19020	53	142	171	219	239	257	216	247	253	234	224	262	226	249	205	239	242	220	226	122			
19030	110	133	146	161	165	148	158	156	138	127	127	93	93	86	83	52	49	37	39	16			
19081	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	7406	7118	7172	6938	2832			
19082	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	661	686	653	667	201			
19083	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	18958	19762	20388	20270	5959			
19084	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	2457	2676	2922	2948	732			
19085	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	1172	1298	1340	1356	516			
19086	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	231	236	279	281	100			
19090	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19100	2747	6227	4425	3499	3054	2764	2569	2337	2061	1807	1495	1359	1216	1098	952	909	824	691	600	192			
19101	3045	7503	3494	2387	2026	1664	1584	1371	1323	1246	1140	985	951	870	876	858	774	624	510	188			
19102	#	#	4720	6303	7280	8155	8946	9698	10045	10078	9979	9893	10606	10847	10792	#	#	#	#	#			
19103	#	#	4196	5656	6581	7400	8344	9641	10904	12666	13879	14197	15292	15786	16468	#	#	#	#	#			
19105	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	13	#			
19110	63	111	96	127	114	134	114	118	103	108	116	91	90	100	84	67	76	79	70	28			
19112	#	#	#	14	#	16	11	#	11	#	#	#	#	#	#	#	#	#	#	#			
19120	3906	8865	9238	9038	8458	8029	7001	5994	5501	4769	4260	3940	3764	3324	3045	2473	2255	2026	1797	857			
19121	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19125	3530	7877	8333	8448	8482	8468	8150	7692	7471	6960	6406	5852	5634	5217	5101	4700	4504	4000	3414	1119			
19126	210	481	474	532	578	566	547	513	480	466	450	425	389	380	336	316	319	252	221	73			
19129	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19140	#	#	16	19	14	11	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19160	1838	5124	6186	7009	7294	7782	9011	9592	#	#	#	#	#	#	#	#	#	#	#	#			
19162	1757	4838	5073	5176	4839	4826	4929	5132	#	#	#	#	#	#	#	#	#	#	#	#			
19180	752	2052	2504	2897	3006	3335	3586	3838	#	#	#	#	#	#	#	#	#	#	#	#			
19182	13	47	58	85	63	65	81	97	#	#	#	#	#	#	#	#	#	#	#	#			
19200	36	125	101	123	88	115	104	86	#	#	#	#	#	#	#	#	#	#	#	#			
19212	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19214	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19220	#	32	34	25	35	26	27	27	#	#	#	#	#	#	#	#	#	#	#	#			
19240	2423	6517	6933	6388	5679	5255	4974	4587	#	#	#	#	#	#	#	#	#	#	#	#			
19242	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19259	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19260	28	38	46	68	54	64	79	80	71	71	69	72	85	68	69	60	35	42	47	42			
19265	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19270	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19271	#	#	#	#	#	#	11	12	#	#	#	#	13	16	#	#	11	#	#	#			
19272	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19281	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	8179	8652	8703	8483	2427			
19282	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	930	1124	1108	1094	352			
19283	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	777	627	717	593	164			
19284	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	72	68	49	60	17			
19285	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	4470	4653	4864	5145	1494			
19286	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	347	395	424	451	146			
19287	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	134	120	119	105	30			
19288	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	28	32	25	28	#			
19290	4432	10283	10685	10994	11179	11073	11333	11458	11245	11542	11470	11329	11909	11688	11829	#	#	#	#	#			
19291	349	723	787	954	989	1041	1084	1052	1124	1132	1209	1198	1160	1253	1256	#	#	#	#	#			
19294	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	48			
19295	#	#	3344	4900	6130	7351	8617	10696	12653	14974	16882	17942	20179	21248	22139	#	#	#	#	#			
19296	#	#	#	#	#	#	446	735	882	1037	942	935	920	714	586	504	467	388	326	62			
19297	#	#	#	#	#	#	189	247	304	348	324	274	255	272	257	311	291	316	225	34			
19298	#	#	#	#	#	#	41	41	67	55	67	69	59	56	64	81	59	68	58	#			
19300	#	#	#	#	#	#	#	#	38	#	#	#	#	#	#	#	#	#	#	#			
19301	#	#	#	#	#	#	#	#	9811	10498	11180	11471	12517	12899	13187	13620	14177	15174	15300	4197			
19302	#	#	#	#	#	#	#	#	4889	4648	3416	2940	2558	2257	2083	1855	1843	1814	1462	398			
19303	#	#	#	#	#	#	#	#	4130	4649	4818	4634	4826	5253	5413	5270	5271	4967	4895	2263			
19304	#	#	#	#	#	#	#	#	162	144	152	163	188	243	277	352	290	142	116	60			
19305	#	#	#	#	#	#	#	#	224	177	175	170	146	144	111	126	109	98	73	32			
19306	#	#	#	#	#	#	#	#	46	33	32	21	20	22	31	21	21	15	12	#			
19307	#	#	#	#	#	#	#	#	4262	4123	3818	3547	3186	3289	2965	2828	2623	2317	2112	805			
19315	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19316	16	69	140	160	211	255	279	380	395	488	526	658	654	757	720	733	730	788	853	601			
19318	52	126	187	202	225	252	279	301	327	363	426	448	537	625	661	717	760	821	804	549			
19324	#	#	#	#	11	#	#	#	19	19	15	24	32	20	36	25	24	11	#	15			
19325	#	18	31	49	73	84	102	105	99	116	134	144	172	180	166	182	170	179	169	157			
19328	37	81	122	186	201	245	269	289	348	397	447	485	543	585	640	632	636	660	695	667			
19330	#	31	37	63	72	84	93	107	120	120	148	163	149	146	187	177	203	223	213	188			
19340	32	90	112	186	180	243	298	293	373	450	593	707	783	874	983	1058	1127	1281	1341	1194			
19342	31	95	161	217	293	339	384	391	438	556	630	705	746	774	869	878	958	1006	970	894			
19350	39	107	227	299	302	359	419	416	468	480	618	659	654	720	739	710	681	638	569	432			
19355	#	#	#	12	#	11	#	#	16	#	#	14	#	15	14	#	#	12	11	#			
19357	102	324	439	465	534	617	584	653	825	875	1091	1218	1248	1400	1508	1555	1569	1448	1433	760			
19361	18	39	55	65	78	92	82	89	114	113	167	185	193	204	214	226	240	239	199	183			
19364	#	16	14	32	30	32	40	44	52	58	73	111	104	152	140	182	188	213	208	166			
19366	#	22	22	37	65	87	94	110	137	143	212	233	272	494	560	662	643	710	831	474			
19367	21	79	87	78	88	97	84	87	90	86	104	79	87	99	87	77	65	45	31	28			
19368	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19369	#	#	11	#	#	16	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19370	12	59	83	132	158	210	246	256	315	350	435	483	582	615	606	656	645	599	546	449			
19371	35	76	127	198	244	295	324	309	385	440	537	674	700	783	872	950	1005	1031	1000	977			
19372	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19380	45	133	215	273	325	389	419	509	585	675	908	992	1170	1382	1462	1595	1577	1690	1589	1532			
19396	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19499	54	106	116	174	271	387	226	196	292	308	346	414	535	772	930	425	526	520	574	145			
19500	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19537	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19700	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19701	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19711	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19714	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19803	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19823	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19894	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19921	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19923	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
19999	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
1G028	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
1G873	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20000	19	46	29	24	36	40	27	44	45	49	79	81	#	#	#	#	#	#	#	#			
20005	19	17	20	26	24	30	37	39	29	41	48	53	69	71	68	43	45	47	45	35			
20053	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20060	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20076	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20091	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20100	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20101	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20102	#	#	#	#	#	#	#	#	15	#	#	#	#	#	#	#	#	#	#	#			
20103	12	19	12	16	22	12	14	14	20	21	19	20	16	11	25	27	20	24	16	23			
20150	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20160	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20200	13	13	#	13	#	15	#	13	16	15	18	11	#	#	#	13	13	13	#	#			
20205	29	29	24	27	32	44	43	51	55	46	55	42	35	31	42	34	28	33	23	24			
20206	42	58	56	77	85	90	111	132	142	158	179	203	241	255	300	317	417	465	473	499			
20210	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20220	58	79	89	109	114	132	120	157	182	209	262	265	322	300	351	381	414	514	502	443			
20225	55	82	108	189	256	306	343	345	297	377	435	389	444	492	482	522	564	577	573	571			
20240	#	#	18	22	22	23	20	31	31	28	40	36	48	47	53	45	45	52	45	54			
20245	#	14	23	20	26	21	37	33	61	38	54	51	70	52	73	62	74	55	77	82			
20250	#	#	#	#	#	12	17	12	#	#	#	#	#	#	#	#	#	#	#	#			
20251	#	#	#	#	#	18	17	#	#	#	#	16	11	#	#	#	#	#	#	12			
20325	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20327	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20500	12	#	14	#	#	#	#	14	#	13	#	13	18	13	19	23	42	24	19	12			
20501	30	50	41	54	56	48	50	55	64	53	34	47	42	48	38	35	36	29	29	27			
20520	17	12	23	23	25	31	38	27	34	37	29	34	42	19	30	41	34	31	20	27			
20525	#	#	14	20	21	20	19	21	20	21	22	16	15	19	33	31	36	24	25	16			
20526	#	#	#	184	293	362	465	578	544	544	596	684	724	800	831	846	926	896	954	912			
20527	#	#	#	#	#	#	#	#	#	#	#	#	#	43	38	41	53	42	45	48			
20550	5739	5923	6947	6484	6854	7053	7450	7860	7910	8170	7674	7891	7814	8048	7896	8092	8158	8345	8235	8275			
20551	#	#	#	474	682	754	924	992	1003	1075	1111	1152	1084	1151	1144	1166	1216	1320	1289	1229			
20552	#	#	#	1492	2049	2279	2767	2846	2896	2827	2836	2970	3083	3304	3361	3371	3562	3596	3678	3612			
20553	#	#	#	263	488	560	729	834	906	1021	1066	1232	1357	1530	1734	1847	1995	2137	2275	2290			
20555	#	#	#	#	#	#	#	#	#	12	#	#	#	#	#	#	#	#	#	#			
20600	3180	3201	3334	3447	3644	3732	4129	4319	4438	4446	4448	4574	4553	4625	4596	4662	4433	4508	4418	4415			
20604	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	328	407	419	397			
20605	2982	2977	3247	3356	3603	3817	4269	4591	4528	4750	4736	4815	4825	4895	4859	4835	4458	4385	4321	4139			
20606	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	428	544	524	543			
20610	12146	13418	15674	18464	21240	23887	26650	28888	30616	31702	33876	35587	36868	38769	40113	41174	38306	39092	39125	38662			
20611	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	6237	6945	7311	7657			
20612	#	#	#	#	109	159	212	252	299	285	288	336	409	357	372	385	435	400	434	437			
20615	#	13	14	17	14	17	#	13	#	#	#	15	#	12	#	#	#	#	#	#			
20625	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20633	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20650	41	38	34	53	48	37	37	39	40	47	45	44	35	46	48	44	47	29	28	22			
20660	19	29	26	36	43	50	57	81	76	61	65	60	59	48	40	55	36	34	29	28			
20661	#	#	#	#	#	#	19	15	17	#	11	#	#	#	#	#	12	#	#	#			
20662	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20663	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20664	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20665	#	#	#	#	#	#	#	13	33	29	38	37	55	75	80	84	85	79	78	77			
20670	151	185	180	168	197	220	222	251	212	221	196	223	200	187	181	164	157	145	139	134			
20680	303	375	416	427	530	584	599	643	658	671	651	708	751	725	762	752	746	769	774	758			
20682	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20683	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20690	35	56	48	52	59	62	57	48	89	75	82	71	76	67	54	61	60	70	64	74			
20692	#	#	11	#	17	15	18	24	18	15	36	33	23	21	25	28	23	40	35	26			
20693	#	#	#	#	#	#	#	#	#	#	12	#	#	#	#	#	#	#	#	#			
20694	27	47	50	52	75	65	67	67	60	55	78	68	76	49	57	63	71	69	77	72			
20696	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20697	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20805	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20808	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20810	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20816	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20822	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20827	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20838	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20900	17	18	37	23	21	34	36	47	46	50	55	51	61	71	77	88	70	74	67	78			
20902	34	50	38	55	43	48	60	65	70	59	52	69	79	80	68	66	73	77	78	79			
20910	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20912	#	#	#	#	#	#	#	#	#	#	15	12	#	11	17	18	16	18	15	17			
20920	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20922	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	14			
20924	#	#	#	#	#	20	16	19	16	15	15	15	15	13	15	16	13	12	13	13			
20926	20	21	15	38	39	69	165	154	211	210	288	291	352	388	527	568	598	763	821	852			
20930	16	19	29	35	60	75	107	142	169	208	266	265	342	352	402	451	477	538	563	595			
20931	45	60	91	108	127	161	188	174	170	157	172	197	199	184	191	204	181	158	183	136			
20936	19	39	62	91	130	188	217	259	286	344	416	410	417	414	479	497	503	575	576	583			
20937	121	141	150	204	183	180	216	152	152	132	138	117	133	124	153	163	110	109	110	90			
20938	55	54	55	65	63	43	43	36	34	28	22	24	21	22	18	21	11	14	#	13			
20939	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	108			
20950	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20955	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20956	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20957	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20962	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20969	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20970	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20974	14	18	16	25	31	36	34	23	40	26	38	30	42	22	29	23	25	21	15	20			
20975	12	16	20	21	25	25	18	11	15	#	18	11	#	#	#	#	#	#	#	#			
20979	#	#	#	#	#	#	14	#	#	11	15	18	31	#	15	17	11	15	11	15			
20982	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	16	22	38	44	42			
20983	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20985	#	#	#	#	#	#	#	#	#	347	425	401	422	415	489	442	413	453	529	586			
20986	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20987	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
20999	13	#	24	30	34	30	47	34	46	48	36	33	32	26	35	46	37	24	25	33			
21002	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21010	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21011	#	#	#	#	#	#	#	#	#	#	#	35	33	43	63	44	41	55	42	38			
21012	#	#	#	#	#	#	#	#	#	#	#	26	33	26	32	38	28	36	38	39			
21013	#	#	#	#	#	#	#	#	#	#	#	#	#	12	#	#	#	11	#	#			
21014	#	#	#	#	#	#	#	#	#	#	#	12	15	11	23	20	13	13	21	20			
21015	13	17	16	21	21	28	24	30	29	30	28	18	15	15	#	11	#	#	#	#			
21016	#	#	#	#	#	#	#	#	#	#	#	16	13	#	22	18	11	18	14	#			
21025	#	#	#	13	18	22	18	20	14	15	27	19	33	41	50	55	53	75	73	95			
21026	#	#	#	#	#	#	#	#	#	#	#	#	17	#	15	24	24	39	52	61			
21029	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21030	29	31	28	28	34	18	29	17	17	23	23	33	16	25	19	28	28	16	20	22			
21031	14	#	11	16	19	14	14	#	11	#	#	11	16	20	14	#	#	#	#	#			
21032	#	#	#	11	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21034	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21035	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21040	20	22	17	20	32	25	22	23	22	19	21	19	19	34	37	26	30	23	30	26			
21041	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21044	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21045	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21046	#	#	#	#	#	#	#	#	#	#	11	#	#	#	11	15	#	13	#	#			
21047	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21048	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21049	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21050	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21060	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21070	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21073	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21076	#	#	#	#	#	#	#	#	#	12	16	16	#	13	#	#	#	#	#	#			
21077	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21079	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	22	29	25			
21080	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21081	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21082	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21083	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21084	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21085	#	19	11	15	19	#	15	15	20	22	35	44	31	38	52	73	66	66	69	91			
21086	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21087	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21088	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21089	16	#	14	12	12	12	#	19	20	13	13	#	#	#	#	#	#	#	#	#			
21100	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21110	#	#	#	#	#	#	#	12	12	#	#	#	#	#	#	#	#	11	12	21			
21116	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21120	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21125	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21127	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21137	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21138	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
21141	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
